district,population,building_count,avg_b_levels,commercial,industrial,others,residential,service,unknown,area_sqkm,road_count_pedestrian,road_length_pedestrian_km,count_density,pedestrian_flow_combined
Зябликово,133000.0,761,6.563218390804598,68,3,28,169,227,266,4.598525396503577,658,0.000719369080201965,30387.21,19030883.26239103
Ивановское,127500.0,890,5.552437223042836,68,17,32,242,302,229,10.126683237056284,1026,0.0011939636511731678,12518.65,12917852.463411948
Измайлово,106500.0,1260,5.008620689655173,89,3,57,485,442,184,15.048051212030549,1641,0.0016623687030452527,7004.0,11613895.881765638
Капотня,32300.0,876,6.865384615384615,19,2,6,74,711,64,8.098538217858735,569,0.0007160179294958481,4015.38,2269384.857562524
Коньково,156100.0,1041,6.384464751958225,100,124,33,275,323,186,7.812461051056764,1579,0.0014757458308662958,21756.41,31549840.490617137
Коптево,101500.0,1175,5.201474201474201,64,113,48,398,407,145,4.804799382260073,870,0.0007354795356685974,18939.41,18378498.866369575
Косино-Ухтомский,81200.0,2198,2.1351667641895844,43,53,22,1396,566,118,15.297160916189425,1219,0.0015076057939731287,5421.13,6470664.755526214
Котловка,65800.0,614,5.411764705882353,50,2,18,250,211,83,3.9924710612629144,757,0.0006799602459839525,16703.3,12476133.010277528
Красносельский,48500.0,1614,3.886113463166808,382,49,65,224,718,176,4.994633378055982,1766,0.0011866143507607552,9785.08,17148606.017072108
Крылатское,82400.0,1151,4.388888888888889,65,3,17,311,635,120,12.161663159085258,884,0.0010250182966384566,6859.88,5989443.963968395
Крюково,96700.0,1697,5.5212765957446805,79,9,38,213,1194,164,10.63936803700581,1417,0.0016772242044414784,9318.02,12878951.035757387
Кузьминки,145500.0,1007,5.767038413878563,66,18,24,492,318,89,7.985473514057495,570,0.0008069489505438715,17874.85,10385733.52650943
Кунцево,151000.0,1948,7.24113475177305,66,32,41,438,1177,194,52.80902172845574,1156,0.001196026888639203,9143.9,3305420.064351274
Куркино,32800.0,1071,3.52,16,1,29,271,714,40,7.723776230052192,638,0.00076475133027852,4216.71,2709348.30019779
Левобережный,53600.0,857,5.121262458471761,81,47,35,162,287,245,6.406185884485754,1241,0.0011943382840130313,6743.88,10383339.041267859
Лефортово,93700.0,1908,4.209767814251401,224,245,57,303,866,213,8.991243789165717,1446,0.0014702111153532748,10386.53,15069127.606490128
Лианозово,85500.0,1157,5.375,75,74,24,396,465,123,5.643658649194799,794,0.00084184343785645,14825.04,12028899.020972094
Ломоносовский,87800.0,530,6.0,41,0,36,206,153,94,3.331822615729614,1590,0.0010175312735498322,26346.71,41899589.5342494
Лосиноостровский,82900.0,824,5.154220779220779,40,1,14,246,397,126,5.36679230072239,1137,0.0011546032650118837,14958.3,17563060.897160605
Люблино,171850.0,1921,6.096532333645736,116,117,67,458,912,251,17.817142004341104,1736,0.002016636484019123,9876.28,16744077.132421812
Марфино,34400.0,488,5.5,29,7,11,148,241,52,2.10317736241131,1529,0.0006617192049615257,11850.51,25008637.37887347
Марьина Роща,67300.0,1193,4.685227272727273,175,47,54,242,557,118,4.681627901182977,1269,0.0010470463185493983,14394.66,18242308.40268612
Марьино,253300.0,1433,6.875923970432946,169,78,45,365,618,158,11.755282711517344,2569,0.002666359820763927,21318.89,55356193.123491935
Матушкино,40200.0,570,4.897435897435898,4,18,12,111,375,50,4.68142194938282,531,0.0006393637863433368,9212.56,4559768.42737156
Метрогородок,38400.0,823,3.839486356340289,70,154,24,149,273,153,27.45652561930807,485,0.000785900876476599,1410.19,678308.6927394472
Мещанский,60400.0,1538,4.1063174114021574,394,8,130,362,485,159,4.5160357650337835,2176,0.0014388130871363946,13212.61,29103046.751228906
Митино,190800.0,1787,4.602469135802469,151,48,45,336,715,492,12.53746503807294,2502,0.0020768666774171824,15223.05,38076405.28211399
Можайский,137400.0,1957,5.868120456905504,111,76,33,602,949,186,16.870014695749706,1842,0.0021121258727848785,12837.47,15002405.425513033
Молжаниновский,8600.0,1670,2.5958188153310107,37,12,7,715,713,186,15.874548320892204,212,0.00025614237806861965,454.68,114850.5118473525
Москворечье-Сабурово,80400.0,1194,7.229629629629629,36,183,21,168,488,298,10.05321962934962,1112,0.0012964716249399082,8657.2,8893150.98010884
Нагатино-Садовники,82500.0,1176,5.758964143426295,89,164,30,199,576,118,7.742751084098315,1043,0.0012330012953413803,10139.05,11113297.982253384
Нагатинский Затон,119500.0,769,7.501089324618737,62,34,32,276,287,78,9.590552917462675,1424,0.001536703012764069,12216.94,17743293.99613182
Нагорный,81300.0,1122,6.4860813704496785,87,194,38,250,479,74,5.293510190101029,733,0.0007303297848914468,15063.84,11257728.399472987
Некрасовка,55100.0,556,12.168711656441715,32,110,20,211,149,34,11.325217240081766,1082,0.001197621025739375,11339.61,5264199.241053107
Нижегородский,45200.0,1601,4.298118668596238,125,164,25,213,948,126,7.534002367408038,587,0.0007152447886094413,5971.99,3521687.2395446403
Новогиреево,97900.0,852,5.556716417910447,75,36,34,312,279,116,4.395639480004212,693,0.0008026955348847877,22108.31,15434546.056068957
Новокосино,107300.0,507,7.40547263681592,39,6,25,182,161,94,3.774947843782222,737,0.0006940371047509537,29901.67,20948660.292155854
Ново-Переделкино,121500.0,1000,6.6421319796954315,29,6,17,196,702,50,8.60435842762023,810,0.0008339111588957215,14380.54,11437808.039712189
Обручевский,85000.0,858,7.989293361884369,107,26,26,173,365,161,6.048636576169697,972,0.001147900464352283,14012.44,13659276.592266215
Орехово-Борисово Северное,131900.0,631,5.368972746331237,77,0,22,146,278,108,7.46583862079165,1544,0.0015245302076824995,17200.26,27278060.82398354
Орехово-Борисово Южное,147700.0,910,5.69877408056042,79,1,30,208,372,220,7.111430787421985,1258,0.0012932894254219995,21284.29,26127878.559774056
Останкинский,63100.0,1634,3.4419720767888307,165,35,57,189,1009,179,12.507866503511272,4399,0.0032203638917057617,5068.06,22192186.007268082
Отрадное,184500.0,1552,5.707659115426106,180,174,54,321,550,273,10.048973250547332,1171,0.001358060435994939,18189.69,21499659.180427466
Очаково-Матвеевское,128900.0,1981,6.039812646370024,62,124,41,327,1276,151,17.562666853244295,1805,0.0017585752302513118,7405.36,13247674.851670982
Перово,140800.0,2053,4.778337531486146,148,111,49,578,1064,103,9.94653739613381,767,0.001087496914692912,14468.96,10857406.522392085
Печатники,86400.0,2411,4.21578947368421,183,262,32,240,1540,154,18.44592650620135,651,0.0009568265823507116,4832.14,3049258.5981566436
Покровское-Стрешнево,57800.0,1544,4.1409796893667865,121,174,40,297,705,207,13.084946037650871,1755,0.0016027228416531406,4519.3,7752343.777965725
Внуковское,7200.0,4633,7.213872832369942,36,43,24,436,4028,66,25.562321773700138,1432,0.001297182457911933,289.49,403343.6434795169
Вороновское,8800.0,6159,2.0403225806451615,12,3,8,367,5705,64,206.0572618534979,88,0.0001447441495377099,43.0,3758.178639443346
Воскресенское,9300.0,6780,1.6782342434294464,7,1,6,1951,4799,16,24.786295970223353,366,0.0003462580033530721,392.25,137325.88379034546
Десёновское,15800.0,8851,3.707462686567164,9,1,9,947,7860,25,52.95235327948105,847,0.0010501723760367068,319.13,252729.0889106856
Киевский,13800.0,2722,1.1439306358381502,5,9,6,2148,537,17,61.247239498077306,214,0.000276640425911429,245.45,48217.68334706265
Клёновское,3500.0,2027,3.15,0,1,5,290,1726,5,118.1209041088818,85,7.220791101937835e-05,62.04,2518.605849187961
Кокошкино,16100.0,3021,2.6435897435897435,24,20,7,940,1926,104,8.278730079071657,309,0.00032303530865602993,1988.77,600925.4985346575
Краснопахорское,4800.0,4956,1.8333333333333333,11,16,3,531,4387,8,87.00003478763473,209,0.000349776467854581,55.45,11531.029871985571
